IP Mgmt,IP IN,Prefix IN,IP Out,Prefix Out,HostName,Chassis,Slot
100.64.78.16,100.64.72.15,27,100.64.72.47,27,XCD_SD-M-14,10,8
100.64.78.17,100.64.72.16,27,100.64.72.48,27,XCD_SD-BK-1,11,2
100.64.78.117,100.64.73.18,26,100.64.73.146,25,ABR-SD-M-17,11,3
100.64.78.118,100.64.73.19,26,100.64.73.147,25,ABR-SD-M-18,11,4
100.64.78.84,100.64.72.189,26,100.64.72.243,29,MUX-HD2-BK-1,12,1
100.64.78.160,100.64.73.93,26,100.64.73.189,25,ABR-HD-BK-2,12,2
100.64.78.65,100.64.72.102,26,100.64.72.144,26,XCD_HD2-M-15,12,3
100.64.78.68,100.64.72.105,26,100.64.72.147,26,XCD_HD2-M-18,12,4
100.64.78.66,100.64.72.103,26,100.64.72.145,26,XCD_HD2-M-16,12,5
100.64.78.69,100.64.72.106,26,100.64.72.148,26,XCD_HD2-M-19,12,6
100.64.78.67,100.64.72.104,26,100.64.72.146,26,XCD_HD2-M-17,12,7
100.64.78.70,100.64.72.107,26,100.64.72.149,26,XCD_HD2-M-20,12,8
100.64.78.50,100.64.72.221,27,100.64.72.235,29,MUX_HD1-BK-1,13,1
100.64.78.159,100.64.73.92,26,100.64.73.188,25,ABR-HD-BK-1,13,2
100.64.78.39,100.64.72.80,26,100.64.72.208,27,XCD_HD1-M-15,13,3
100.64.78.42,100.64.72.83,26,100.64.72.211,27,XCD_HD1-M-18,13,4
100.64.78.40,100.64.72.81,26,100.64.72.209,27,XCD_HD1-M-16,13,5
100.64.78.43,100.64.72.84,26,100.64.72.212,27,XCD_HD1-M-19,13,6
100.64.78.41,100.64.72.82,26,100.64.72.210,27,XCD_HD1-M-17,13,7
100.64.78.44,100.64.72.85,26,100.64.72.213,27,XCD_HD1-M-20,13,8
100.64.78.24,100.64.72.61,27,100.64.72.227,29,MUX_SD-BK-1,14,1
100.64.78.130,100.64.73.31,26,100.64.73.159,25,ABR-SD-BK-2,14,2
100.64.78.77,100.64.72.114,26,100.64.72.156,26,XCD_HD2-BK-1,14,3
100.64.78.150,100.64.73.83,26,100.64.73.179,25,ABR-HD-M-18,14,4
100.64.78.148,100.64.73.81,26,100.64.73.177,25,ABR-HD-M-16,14,5
100.64.78.151,100.64.73.84,26,100.64.73.180,25,ABR-HD-M-19,14,6
100.64.78.149,100.64.73.82,26,100.64.73.178,25,ABR-HD-M-17,14,7
100.64.78.152,100.64.73.85,26,100.64.73.181,25,ABR-HD-M-20,14,8
100.64.78.21,100.64.72.20,27,,,SMX_CTL-SD-BK-1,15,1
100.64.78.129,100.64.73.30,26,100.64.73.158,25,ABR-SD-BK-1,15,2
100.64.78.45,100.64.72.86,26,100.64.72.214,27,XCD_HD1-BK-1,15,3
